sub_pathway,n_metabolites,real_score,null_mean,null_std,p_value,q_value,significant_fdr
Sphingolipid Synthesis,3,0.010254440087232046,0.009840342674880877,0.0003155475170230101,0.0945273631840796,0.691609519967729,False
Ascorbate and Aldarate Metabolism,7,0.009612343831421417,0.009316250912839871,0.00032521414561473614,0.15920398009950248,0.691609519967729,False
Polyamine Metabolism,9,0.008437936645941373,0.008146873186371341,0.0002936700266369681,0.17412935323383086,0.691609519967729,False
"Fructose, Mannose and Galactose Metabolism",4,0.009554057321606971,0.009222122611273304,0.0004824804496876826,0.22885572139303484,0.691609519967729,False
Acetylated Peptides,5,0.010095288474407054,0.009619145976274118,0.0007273766775846274,0.22885572139303484,0.691609519967729,False
"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",5,0.01050476979010542,0.010051502582788148,0.0007585559879882687,0.25870646766169153,0.691609519967729,False
Fatty Acid Metabolism (Acyl Choline),9,0.009751115827078324,0.009289718045548394,0.0007253706978601223,0.263681592039801,0.691609519967729,False
Tocopherol Metabolism,10,0.009890356731083395,0.009575169657763352,0.0005202009043013346,0.2736318407960199,0.691609519967729,False
Phosphatidylcholine (PC),39,0.010075073667203317,0.00978582497874093,0.000623552352673635,0.3034825870646766,0.691609519967729,False
Dipeptide,14,0.01038495668927807,0.010103184987552865,0.0006361394691786008,0.31343283582089554,0.691609519967729,False
Fatty Acid Metabolism (also BCAA Metabolism),4,0.009919101624400005,0.009597746756490522,0.0007123066586716344,0.32338308457711445,0.691609519967729,False
Lysophospholipid,63,0.01027074850286529,0.00997045281824982,0.0006484734953363549,0.32338308457711445,0.691609519967729,False
Ceramides,11,0.00998391790579603,0.009726945378501588,0.0006782314449385263,0.32338308457711445,0.691609519967729,False
"Fatty Acid, Dihydroxy",5,0.009851926075950968,0.009600709678514407,0.0006700672252064531,0.32338308457711445,0.691609519967729,False
Fatty Acid Metabolism (Acyl Glycine),7,0.0101937660879833,0.00994203771213556,0.0006526483085491114,0.3333333333333333,0.691609519967729,False
Pentose Metabolism,6,0.00964495270413337,0.009351091658778765,0.0007983635463473488,0.3383084577114428,0.691609519967729,False
Gamma-glutamyl Amino Acid,17,0.010005564284964998,0.00980897928120424,0.0005337411133476085,0.3383084577114428,0.691609519967729,False
Tyrosine Metabolism,23,0.009757242951479743,0.009633620406840132,0.00031760549385415315,0.3383084577114428,0.691609519967729,False
Phosphatidylethanolamine (PE),21,0.009812436477859612,0.009550862204837682,0.0006042084751333156,0.34328358208955223,0.691609519967729,False
Aminosugar Metabolism,4,0.009414944280797066,0.009133715699691758,0.0008609839205529556,0.3482587064676617,0.691609519967729,False
Lysine Metabolism,18,0.00955316094930656,0.00940296323913932,0.00046285120851251337,0.35323383084577115,0.691609519967729,False
"Pyrimidine Metabolism, Orotate containing",3,0.008700641073662106,0.008316483240231922,0.0012460055283655858,0.36318407960199006,0.691609519967729,False
Phosphatidylinositol (PI),9,0.010111812816315712,0.009916414065260011,0.0006751896004085679,0.36318407960199006,0.691609519967729,False
Modified Peptides,3,0.009407869979227336,0.009141866870296573,0.0006775687722563756,0.36318407960199006,0.691609519967729,False
"Fatty Acid, Dicarboxylate",34,0.009810014124602605,0.00964072102453649,0.0004245909463799786,0.3681592039800995,0.691609519967729,False
Lactosylceramides (LCER),3,0.010093594580502756,0.009949014332156227,0.0006809282612126656,0.3681592039800995,0.691609519967729,False
Hexosylceramides (HCER),9,0.009758989927020147,0.009599923148830663,0.0006988243438988891,0.373134328358209,0.691609519967729,False
Tryptophan Metabolism,25,0.009563472661524014,0.009513123074928423,0.00022540502071829202,0.3880597014925373,0.691609519967729,False
Lysoplasmalogen,11,0.0099162160906581,0.009716587341810431,0.0006875127748442409,0.3880597014925373,0.691609519967729,False
Progestin Steroids,7,0.009769574743803234,0.00953095426118046,0.0009126995671010926,0.39303482587064675,0.691609519967729,False
Phenylalanine Metabolism,8,0.009936890219842733,0.009861391961278295,0.0004418665652855137,0.4129353233830846,0.691609519967729,False
Monoacylglycerol,12,0.009818495234309754,0.009695377845081083,0.0006496864087928857,0.417910447761194,0.691609519967729,False
Glutamate Metabolism,12,0.00977678095839034,0.009641431534943588,0.0007125331349264013,0.4228855721393035,0.691609519967729,False
Urea cycle; Arginine and Proline Metabolism,21,0.00937713033889521,0.009314403852265323,0.0002731934845165639,0.42786069651741293,0.691609519967729,False
Lactoyl Amino Acid,5,0.010328921975182112,0.010078519199902547,0.0009397736469752806,0.42786069651741293,0.691609519967729,False
"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",8,0.010054700100359911,0.009945282526474334,0.0007009061866702027,0.4427860696517413,0.691609519967729,False
Vitamin A Metabolism,6,0.009097480347765745,0.009031793133088772,0.0006756435515411206,0.44776119402985076,0.691609519967729,False
Alanine and Aspartate Metabolism,9,0.009710187521954496,0.009658214434917666,0.0003090138844408048,0.4527363184079602,0.691609519967729,False
TCA Cycle,10,0.009632855006143809,0.009585028216450495,0.0005924916806708915,0.4577114427860697,0.691609519967729,False
"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",9,0.009682195687208775,0.0096550479183684,0.0006316635452229206,0.46766169154228854,0.691609519967729,False
Plasmalogen,29,0.009819849687577606,0.009760529252507751,0.0006150750002189718,0.46766169154228854,0.691609519967729,False
Diacylglycerol,29,0.010035329652237608,0.00998733424614511,0.0006658929325231898,0.46766169154228854,0.691609519967729,False
"Purine Metabolism, Adenine containing",5,0.009153488602478447,0.00914148805224888,0.00035771500227638284,0.472636815920398,0.691609519967729,False
Primary Bile Acid Metabolism,13,0.00982570179391595,0.009803699996629502,0.0004843568359485669,0.472636815920398,0.691609519967729,False
Nicotinate and Nicotinamide Metabolism,6,0.009375982169161705,0.009350304644538981,0.0007126843177899123,0.47761194029850745,0.691609519967729,False
"Glycine, Serine and Threonine Metabolism",12,0.009143721776068594,0.009094683746433465,0.0008753771144125741,0.48258706467661694,0.691609519967729,False
"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",6,0.009668465624323186,0.009606047902787155,0.0006481765099843104,0.48258706467661694,0.691609519967729,False
Sphingomyelins,29,0.00972086772202874,0.009699645107721594,0.0007167657180180166,0.4925373134328358,0.691609519967729,False
"Pyrimidine Metabolism, Uracil containing",12,0.008571405177795404,0.00861765868912579,0.000592273067892702,0.5124378109452736,0.691609519967729,False
"Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",7,0.00976622396018755,0.009848171553205111,0.0007433975851667998,0.5124378109452736,0.691609519967729,False
Phospholipid Metabolism,8,0.009377540269371463,0.00944825779514634,0.00104284494233728,0.5223880597014925,0.691609519967729,False
Sterol,7,0.009484220058379105,0.009602812384098065,0.0008185686700807862,0.5223880597014925,0.691609519967729,False
Secondary Bile Acid Metabolism,28,0.009872788890250136,0.00990035767250824,0.0002682949614105394,0.527363184079602,0.691609519967729,False
"Methionine, Cysteine, SAM and Taurine Metabolism",26,0.009474516244720314,0.009488969900077606,0.0002888087016176893,0.527363184079602,0.691609519967729,False
"Fatty Acid, Amide",4,0.01016112424517728,0.010185870362532322,0.0005373862822565715,0.5323383084577115,0.691609519967729,False
"Leucine, Isoleucine and Valine Metabolism",31,0.009559010884862017,0.009612290145140232,0.0003205759897397149,0.5572139303482587,0.691609519967729,False
Partially Characterized Molecules,28,0.009832354739110184,0.009914747755995594,0.000618449112070227,0.5572139303482587,0.691609519967729,False
"Purine Metabolism, (Hypo)Xanthine/Inosine containing",7,0.009252495370205541,0.009399220527113734,0.0007660889587257851,0.5621890547263682,0.691609519967729,False
"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",5,0.008880195809896064,0.0090662229150174,0.0009170488091694075,0.5671641791044776,0.691609519967729,False
Pregnenolone Steroids,8,0.009478214793517011,0.009648381206293237,0.0007553739717156288,0.572139303482587,0.691609519967729,False
Histidine Metabolism,18,0.009617324796030776,0.00965874597750366,0.0003258052923004,0.572139303482587,0.691609519967729,False
"Purine Metabolism, Guanine containing",5,0.009712251231769671,0.009830133154019418,0.0004793479596896159,0.5771144278606966,0.691609519967729,False
Androgenic Steroids,24,0.009767571292809538,0.009933685176385853,0.0006167312812143619,0.5771144278606966,0.691609519967729,False
Long Chain Polyunsaturated Fatty Acid (n3 and n6),19,0.009602428722661626,0.009715794292035607,0.0006938017308063185,0.5771144278606966,0.691609519967729,False
Dihydrosphingomyelins,5,0.00971470036597949,0.00990077291333909,0.0008369994407229424,0.5870646766169154,0.691609519967729,False
"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",7,0.009562910340031396,0.009731232405347559,0.0006569910853567111,0.5970149253731343,0.691609519967729,False
"Fatty Acid, Amino",3,0.009660641729809573,0.009871980816237337,0.0007205168004841444,0.6069651741293532,0.691609519967729,False
"Fatty Acid, Branched",4,0.009247996866151785,0.009402757654134172,0.0006562520202263759,0.6069651741293532,0.691609519967729,False
Corticosteroids,6,0.008934980827482545,0.00908235183692662,0.0005380653222700714,0.6069651741293532,0.691609519967729,False
Creatine Metabolism,3,0.009007886034614429,0.00932060072348653,0.0012970428232819706,0.6069651741293532,0.691609519967729,False
Medium Chain Fatty Acid,11,0.00979228711486021,0.009915138702317723,0.0006610717708528549,0.6119402985074627,0.691609519967729,False
Long Chain Saturated Fatty Acid,8,0.009351617356852167,0.009539474320016053,0.000678419763635108,0.6169154228855721,0.691609519967729,False
Endocannabinoid,11,0.009774025570737194,0.009987026269319917,0.0006766276310139352,0.6268656716417911,0.691609519967729,False
"Pyrimidine Metabolism, Cytidine containing",4,0.009277323043796368,0.009633852550216851,0.000904477223592346,0.6318407960199005,0.691609519967729,False
Glycerolipid Metabolism,3,0.009197491550433715,0.009482600177886578,0.0007280735677221698,0.6417910447761194,0.6931343283582089,False
Long Chain Monounsaturated Fatty Acid,7,0.009570576809379797,0.009834958205375735,0.0007586167094666529,0.6616915422885572,0.7052238805970149,False
Fibrinogen Cleavage Peptide,14,0.008743287166992015,0.009201698637545032,0.0007469194563905509,0.7263681592039801,0.7641015700717193,False
Glutathione Metabolism,7,0.00968318261023982,0.00990277158187985,0.00035077788068468797,0.7661691542288557,0.7956371986222732,False
"Fatty Acid, Monohydroxy",25,0.00943843251849325,0.00976779950603145,0.0003789437950950388,0.8159203980099502,0.836576610617797,False
Eicosanoid,4,0.0094749791167158,0.010185801413675293,0.0005135967529931634,0.9402985074626866,0.9520522388059701,False
Hemoglobin and Porphyrin Metabolism,7,0.009223134899108688,0.009999134595197023,0.00043153656910476304,0.9800995024875622,0.9800995024875622,False
