metabolite,mean_abs_ig
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),2.0880084e-09
"sphingomyelin (d18:0/18:0, d19:0/17:0)*",2.0874025e-09
hypoxanthine,2.0868227e-09
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca),2.0867124e-09
docosadioate (C22-DC),2.0866924e-09
1-methyl-5-imidazoleacetate,2.0849964e-09
octadecanedioylcarnitine (C18-DC)*,2.0847648e-09
1-stearoyl-GPC (18:0),2.0816064e-09
(N(1) + N(8))-acetylspermidine,2.081176e-09
1-myristoyl-2-palmitoyl-GPC (14:0/16:0),2.0789943e-09
1-dihomo-linoleoyl-GPC (20:2)*,2.0784645e-09
nervonoylcarnitine (C24:1)*,2.0736632e-09
1-palmitoyl-2-(hydroxylinoleoyl)-GPC (16:0/18:2(OH))*,2.0722226e-09
nisinate (24:6n3),2.071829e-09
N-acetyltryptophan,2.0709277e-09
azelate (C9-DC),2.0707556e-09
pyruvate,2.0692674e-09
cis-4-decenoate (10:1n6)*,2.0661475e-09
cortisol,2.0656215e-09
xanthosine,2.065327e-09
"5,6-dihydrouridine",2.0644921e-09
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,2.0626292e-09
"12,13-DiHOME",2.0611115e-09
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),2.0608126e-09
N-carbamoylalanine,2.0602533e-09
"N,N-dimethyl-pro-pro",2.0576738e-09
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,2.056143e-09
N-acetylkynurenine (2),2.054671e-09
glycerol 3-phosphate,2.0519206e-09
"fibrinopeptide A, phosphono-ser(3)*",2.0518724e-09
12-HHTrE,2.0506077e-09
ribose,2.0492652e-09
1-(1-enyl-oleoyl)-2-linoleoyl-GPE (P-18:1/18:2)*,2.048744e-09
N-acetylmethionine,2.0440536e-09
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],2.0428046e-09
1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*,2.0427708e-09
1-linolenoylglycerol (18:3),2.041122e-09
leucine,2.0411173e-09
1-palmitoleoyl-GPE (16:1)*,2.0407958e-09
1-palmityl-2-linoleoyl-GPC (O-16:0/18:2)*,2.039712e-09
deoxycholic acid 12-sulfate*,2.0396351e-09
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,2.0380557e-09
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,2.037911e-09
"bilirubin degradation product, C17H18N2O4 (3)**",2.0364341e-09
taurocholate,2.0360558e-09
3-hydroxy-3-methylglutarate,2.035265e-09
"sphingomyelin (d18:2/21:0, d16:2/23:0)*",2.0341444e-09
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),2.033784e-09
1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,2.0334565e-09
"sphingomyelin (d18:1/20:0, d16:1/22:0)*",2.0322781e-09
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,2.0321158e-09
pantothenate,2.0300763e-09
1-arachidoyl-GPC (20:0),2.0273407e-09
tetradecadienedioate (C14:2-DC)*,2.0270812e-09
beta-hydroxyisovalerate,2.024994e-09
1-linoleoylglycerol (18:2),2.024641e-09
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,2.0235527e-09
glycochenodeoxycholate 3-sulfate,2.0233943e-09
"diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [2]*",2.0225839e-09
glycerol,2.021552e-09
glutamine,2.0175555e-09
7-ketodeoxycholate,2.0169921e-09
indoleacetate,2.0109867e-09
N-acetyl-2-aminoadipate,2.0105297e-09
1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,2.0090667e-09
arachidoylcarnitine (C20)*,2.0083657e-09
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,2.0065936e-09
N-palmitoyl-sphinganine (d18:0/16:0),2.0062048e-09
"N,N,N-trimethyl-5-aminovalerate",2.0048192e-09
argininate*,2.001966e-09
1-(1-enyl-stearoyl)-2-arachidonoyl-GPC (P-18:0/20:4),2.0003492e-09
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,1.9968334e-09
1-palmitoleoyl-GPI (16:1)*,1.9963138e-09
2-aminooctanoate,1.9956978e-09
tetrahydrocortisol glucuronide,1.9942994e-09
1-stearoyl-2-docosahexaenoyl-GPI (18:0/22:6)*,1.993541e-09
glycine conjugate of C10H14O2 (1)*,1.99032e-09
phenol glucuronide,1.989411e-09
glutarate (C5-DC),1.9882087e-09
fibrinopeptide A*,1.9881137e-09
"N2,N2-dimethylguanosine",1.9840796e-09
gentisate,1.9834383e-09
palmitoylcholine,1.9785538e-09
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,1.9782593e-09
picolinoylglycine,1.9742508e-09
glycerophosphorylcholine (GPC),1.9728743e-09
vanillylmandelate (VMA),1.9688648e-09
guanidinoacetate,1.9671578e-09
cytosine,1.9642004e-09
3-hydroxybutyroylglycine**,1.9620183e-09
mannitol/sorbitol,1.9598914e-09
3-hydroxysebacate,1.9594861e-09
palmitoyl ethanolamide,1.9594724e-09
5-hydroxymethyl-2-furoic acid,1.9594648e-09
1-linolenoyl-GPC (18:3)*,1.958558e-09
tetradecadienoate (14:2)*,1.957755e-09
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,1.957677e-09
"ceramide (d18:1/17:0, d17:1/18:0)*",1.9575508e-09
1-palmityl-GPC (O-16:0),1.9575295e-09
2-myristoyl-GPC (14:0)*,1.9569972e-09
alpha-CEHC glucuronide*,1.9560489e-09
undecenoylcarnitine (C11:1),1.9538693e-09
citrate,1.953809e-09
glutamine conjugate of C6H10O2 (1)*,1.9528155e-09
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1.9523236e-09
2-aminoheptanoate,1.951336e-09
gamma-glutamylleucine,1.949985e-09
1-margaroyl-GPE (17:0)*,1.9468664e-09
palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*,1.9453223e-09
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,1.943471e-09
glutamine conjugate of C6H10O2 (2)*,1.9431623e-09
(2 or 3)-decenoate (10:1n7 or n8),1.9430775e-09
deoxycholic acid glucuronide,1.9428634e-09
docosapentaenoate (n6 DPA; 22:5n6),1.9422737e-09
lactate,1.9408632e-09
carnitine of C10H14O2 (5)*,1.9407043e-09
1-stearoyl-2-meadoyl-GPC (18:0/20:3n9)*,1.9405393e-09
phenylacetylglycine,1.9405324e-09
1-linoleoyl-GPC (18:2),1.9404773e-09
kynurenine,1.9392885e-09
2-pyrrolidinone,1.9390194e-09
fibrinopeptide A (3-16)**,1.9383353e-09
2-hydroxybutyrate/2-hydroxyisobutyrate,1.9376083e-09
gamma-glutamyl-2-aminobutyrate,1.9362298e-09
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),1.9362003e-09
"cis-3,4-methyleneheptanoylcarnitine",1.9358848e-09
glutamine conjugate of C7H12O2*,1.9344226e-09
aspartate,1.9337436e-09
1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPE (P-18:1/22:6)*,1.9307673e-09
1-(1-enyl-oleoyl)-2-docosahexaenoyl-GPC (P-18:1/22:6)*,1.9287654e-09
isoleucylhydroxyproline*,1.9287143e-09
pyroglutamylglycine,1.9282145e-09
15-HETE,1.9278383e-09
1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,1.9230029e-09
1-linolenoyl-GPE (18:3)*,1.9212945e-09
N-methyltaurine,1.9206843e-09
glycoursodeoxycholic acid sulfate (2),1.920341e-09
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",1.9199364e-09
deoxycarnitine,1.9189297e-09
N-stearoyltaurine,1.918698e-09
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,1.9180901e-09
erucate (22:1n9),1.9169581e-09
6-oxopiperidine-2-carboxylate,1.9148747e-09
homovanillate (HVA),1.913977e-09
ornithine,1.9131443e-09
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),1.9123148e-09
arabitol/xylitol,1.9119377e-09
"2S,3R-dihydroxybutyrate",1.9117512e-09
N-palmitoylglycine,1.9116333e-09
threonylphenylalanine,1.911567e-09
"3,4-dihydroxybutyrate",1.9086663e-09
N-acetylglycine,1.906844e-09
docosahexaenoylcholine,1.9068132e-09
acetoacetate,1.9057922e-09
sebacate (C10-DC),1.9052457e-09
2-ketocaprylate,1.905211e-09
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,1.904863e-09
glycoursodeoxycholic acid sulfate (1),1.9048252e-09
2-hydroxymyristate,1.9048236e-09
14-HDoHE/17-HDoHE,1.9046755e-09
phenyllactate (PLA),1.9043964e-09
gamma-glutamylhistidine,1.9019e-09
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n6)*,1.9016229e-09
cysteinylglycine,1.8996282e-09
cystathionine,1.8993498e-09
tigloylglycine,1.899331e-09
1-margaroyl-2-linoleoyl-GPC (17:0/18:2)*,1.8989672e-09
1-arachidonoyl-GPA (20:4),1.8970365e-09
1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1),1.8966373e-09
3-hydroxyoctanoylcarnitine (2),1.8934916e-09
N-acetylthreonine,1.893441e-09
dodecadienoate (12:2)*,1.8917534e-09
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,1.8916406e-09
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),1.8906339e-09
1-nonadecanoyl-GPC (19:0),1.8893482e-09
caprylate (8:0),1.8882547e-09
4-guanidinobutanoate,1.887856e-09
pyroglutamylvaline,1.8878386e-09
1-(1-enyl-stearoyl)-2-linoleoyl-GPC (P-18:0/18:2)*,1.8872615e-09
3-aminoisobutyrate,1.8867574e-09
3-hydroxydodecanedioate*,1.8866333e-09
oleoylcholine,1.8854467e-09
indolelactate,1.8830346e-09
1-margaroyl-2-oleoyl-GPC (17:0/18:1)*,1.8827775e-09
1-palmitoleoyl-GPC (16:1)*,1.8797304e-09
tiglylcarnitine (C5:1-DC),1.879483e-09
caproate (6:0),1.877143e-09
undecanedioate (C11-DC),1.8742634e-09
alpha-hydroxyisovalerate,1.8736168e-09
N4-acetylcytidine,1.8722348e-09
trimethylamine N-oxide,1.8718116e-09
"hydroxy-N6,N6,N6-trimethyllysine*",1.8701032e-09
cerotoylcarnitine (C26)*,1.8693735e-09
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),1.8645736e-09
threonine,1.8627198e-09
ximenoylcarnitine (C26:1)*,1.8621272e-09
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,1.862082e-09
adipoylcarnitine (C6-DC),1.8617704e-09
maltose,1.861443e-09
serotonin,1.8614335e-09
methylmalonate (MMA),1.8613253e-09
3-hydroxy-2-ethylpropionate,1.8608234e-09
acetylcarnitine (C2),1.8603673e-09
methylsuccinate,1.8582812e-09
lysine,1.8576952e-09
3-hydroxyoleate*,1.8563446e-09
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*,1.8531625e-09
"2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*",1.8523545e-09
1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*,1.850409e-09
leucylalanine,1.8495689e-09
5-oxoproline,1.8480727e-09
imidazole lactate,1.8480465e-09
eicosenoylcarnitine (C20:1)*,1.8473609e-09
3-hydroxyisobutyrate,1.8445596e-09
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,1.8436067e-09
fibrinopeptide A (2-15)**,1.842597e-09
chenodeoxycholate,1.8424762e-09
hexanoylglycine,1.8416763e-09
glucuronide of C10H18O2 (8)*,1.8390968e-09
arginine,1.837648e-09
hexadecadienoate (16:2n6),1.8368078e-09
3-methylhistidine,1.836584e-09
linoleate (18:2n6),1.833835e-09
octadecanedioate (C18-DC),1.8334081e-09
docosahexaenoylcarnitine (C22:6)*,1.8331655e-09
heptenedioate (C7:1-DC)*,1.8294178e-09
N-formylmethionine,1.828318e-09
3-methyl-2-oxobutyrate,1.8281643e-09
N-stearoyl-sphingosine (d18:1/18:0)*,1.825786e-09
tridecenedioate (C13:1-DC)*,1.8246459e-09
docosatrienoate (22:3n6)*,1.8218866e-09
gamma-glutamylglycine,1.8216686e-09
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1.82085e-09
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,1.8206193e-09
4-methyl-2-oxopentanoate,1.8197746e-09
1-eicosapentaenoyl-GPE (20:5)*,1.8190099e-09
1-(1-enyl-oleoyl)-GPE (P-18:1)*,1.8187646e-09
3-hydroxyoctanoate,1.8176993e-09
indolepropionylglycine,1.8159688e-09
gamma-glutamyl-alpha-lysine,1.8144447e-09
linoleoyl ethanolamide,1.8136651e-09
N-acetyl-isoputreanine,1.8129968e-09
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,1.8119073e-09
1-(1-enyl-stearoyl)-2-docosapentaenoyl-GPE (P-18:0/22:5n3)*,1.8110377e-09
3-hydroxylaurate,1.8105948e-09
N-stearoyl-sphingadienine (d18:2/18:0)*,1.806581e-09
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,1.8043119e-09
S-methylcysteine,1.8042766e-09
1-(1-enyl-stearoyl)-GPE (P-18:0)*,1.8040406e-09
anthranilate,1.8022968e-09
dihomo-linolenate (20:3n3 or n6),1.7997e-09
propionylcarnitine (C3),1.7996135e-09
gamma-glutamylphenylalanine,1.799141e-09
fibrinopeptide B (1-11)**,1.7981873e-09
stearoyl-arachidonoyl-glycerol (18:0/20:4) [2]*,1.7965949e-09
"fibrinopeptide A, des-ala(1)*",1.7937182e-09
"sphingomyelin (d17:2/16:0, d18:2/15:0)*",1.7906948e-09
N-palmitoyl-sphingadienine (d18:2/16:0)*,1.7888918e-09
methionine sulfoxide,1.7887234e-09
N-acetylalanine,1.7884408e-09
gamma-glutamylthreonine,1.7850961e-09
"branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*",1.7850519e-09
urate,1.7850379e-09
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,1.7813078e-09
pyridoxal,1.7806392e-09
pro-hydroxy-pro,1.778878e-09
adenine,1.7778987e-09
3-methylglutarylcarnitine (2),1.776525e-09
2-hydroxystearate,1.7761975e-09
palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,1.7744336e-09
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",1.7741534e-09
pyridoxate,1.7730734e-09
"ceramide (d18:2/24:1, d18:1/24:2)*",1.7729569e-09
2-hydroxyglutarate,1.7709159e-09
arachidonoylcarnitine (C20:4),1.7686492e-09
tricosanoyl sphingomyelin (d18:1/23:0)*,1.7670959e-09
4-acetamidobutanoate,1.7662661e-09
"sphingomyelin (d17:1/14:0, d16:1/15:0)*",1.7656929e-09
4-oxo-retinoic acid,1.7650371e-09
1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n6)*,1.7613251e-09
1-methylhistidine,1.7608163e-09
guanidinosuccinate,1.7606019e-09
adrenate (22:4n6),1.7603023e-09
N-acetylserine,1.7593119e-09
suberate (C8-DC),1.7571828e-09
2-hydroxypalmitate,1.7570715e-09
pimelate (C7-DC),1.7536524e-09
5-methylthioribose**,1.7530787e-09
glycerophosphoinositol*,1.7479229e-09
13-HODE + 9-HODE,1.7454194e-09
3-methyladipate,1.7425735e-09
2-O-methylascorbic acid,1.7412649e-09
isovalerylglycine,1.7387374e-09
N-oleoylserine,1.738206e-09
glycylvaline,1.7380702e-09
12-HETE,1.7363695e-09
3-hydroxymyristate,1.7352638e-09
linolenoylcarnitine (C18:3)*,1.7332573e-09
N1-methyladenosine,1.7293288e-09
N-acetylglutamine,1.7283914e-09
4-hydroxyglutamate,1.727687e-09
p-cresol glucuronide*,1.7242735e-09
hexanoylglutamine,1.7236985e-09
androsterone sulfate,1.7235382e-09
glucuronate,1.7147165e-09
1-palmitoyl-2-eicosapentaenoyl-GPE (16:0/20:5)*,1.7140768e-09
glycoursodeoxycholate,1.7120781e-09
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),1.7117452e-09
dihomo-linoleate (20:2n6),1.7110978e-09
"sphingomyelin (d18:2/14:0, d18:1/14:1)*",1.709238e-09
N-formylanthranilic acid,1.7076643e-09
4-methylhexanoylglutamine,1.7073083e-09
dihomo-linoleoylcarnitine (C20:2)*,1.7048829e-09
hexanoylcarnitine (C6),1.7038517e-09
N-acetyl-aspartyl-glutamate (NAAG),1.7037911e-09
alpha-hydroxyisocaproate,1.7024724e-09
N-acetyl-3-methylhistidine*,1.7020874e-09
cortisone,1.699171e-09
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**,1.698912e-09
C-glycosyltryptophan,1.6985191e-09
N6-acetyllysine,1.6970945e-09
(S)-3-hydroxybutyrylcarnitine,1.6954712e-09
indoxyl glucuronide,1.6937075e-09
asparagine,1.6929165e-09
decadienedioic acid (C10:2-DC)**,1.6925382e-09
gamma-glutamyltyrosine,1.6922699e-09
ethylmalonate,1.6907374e-09
"5alpha-pregnan-3beta-ol,20-one sulfate",1.6873456e-09
taurolithocholate 3-sulfate,1.6861463e-09
homocitrulline,1.6845279e-09
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,1.684413e-09
docosadienoate (22:2n6),1.6833367e-09
1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*,1.6833082e-09
N6-methyladenosine,1.6826538e-09
arachidonoylcholine,1.6799588e-09
cis-4-decenoylcarnitine (C10:1),1.6799474e-09
deoxycholate,1.6796169e-09
alpha-tocopherol,1.6771922e-09
N-stearoyl-sphinganine (d18:0/18:0)*,1.6744335e-09
galactonate,1.6722795e-09
hydroxy-CMPF*,1.6698523e-09
adenosine,1.6678094e-09
eicosapentaenoylcholine,1.6673078e-09
alanine,1.6651948e-09
linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,1.6574901e-09
phenylacetylcarnitine,1.6569996e-09
gamma-glutamyltryptophan,1.6526615e-09
glycolithocholate sulfate*,1.6524975e-09
docosahexaenoate (DHA; 22:6n3),1.6514572e-09
myristoyl dihydrosphingomyelin (d18:0/14:0)*,1.6499878e-09
1-arachidoyl-2-arachidonoyl-GPC (20:0/20:4)*,1.6484882e-09
linolenate [alpha or gamma; (18:3n3 or 6)],1.647081e-09
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,1.6443056e-09
glucose,1.6434851e-09
5-dodecenoate (12:1n7),1.6428348e-09
hydantoin-5-propionate,1.639652e-09
N6-carbamoylthreonyladenosine,1.6395338e-09
N-acetyltaurine,1.6372792e-09
ribonate,1.6361119e-09
N-behenoyl-sphingadienine (d18:2/22:0)*,1.6358837e-09
1-docosahexaenoyl-GPE (22:6)*,1.6347584e-09
phenylacetylglutamate,1.6316898e-09
isobutyrylglycine,1.6306034e-09
phenylacetate,1.6264388e-09
1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)*,1.6244267e-09
fibrinopeptide A (5-16)*,1.6238316e-09
fibrinopeptide A (4-15)**,1.6233287e-09
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,1.6231804e-09
cholate,1.6157942e-09
linoleoylcholine*,1.6145527e-09
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,1.6144899e-09
arachidonate (20:4n6),1.6133386e-09
erythronate*,1.6116996e-09
propionylglycine,1.6068771e-09
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",1.60588e-09
(R)-3-hydroxybutyrylcarnitine,1.6036471e-09
tetradecanedioate (C14-DC),1.6026334e-09
palmitoleate (16:1n7),1.6019484e-09
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,1.6014005e-09
2-aminobutyrate,1.601377e-09
lanthionine,1.595972e-09
3-amino-2-piperidone,1.5958501e-09
retinol (vitamin A),1.5898541e-09
oxalate (ethanedioate),1.5895858e-09
16-hydroxypalmitate,1.5886763e-09
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)*,1.5856415e-09
cystine,1.5819794e-09
formiminoglutamate,1.5817113e-09
"1,5-anhydroglucitol (1,5-AG)",1.5809634e-09
3-hydroxyoctanoylcarnitine (1),1.5785973e-09
caprate (10:0),1.5780234e-09
N-acetylaspartate (NAA),1.5759285e-09
8-hydroxyoctanoate,1.5757711e-09
uracil,1.5757156e-09
glycerate,1.5751958e-09
2-oxoarginine*,1.5748328e-09
sphinganine,1.5747978e-09
N-acetylhistidine,1.5746976e-09
serine,1.5699136e-09
oxindolylalanine,1.5689469e-09
3-(3-amino-3-carboxypropyl)uridine*,1.5666402e-09
"N6,N6,N6-trimethyllysine",1.5633241e-09
pantoate,1.5633239e-09
quinolinate,1.5618454e-09
2-hydroxyoctanoate,1.5611777e-09
2-methylbutyrylcarnitine (C5),1.5584436e-09
valine,1.5571894e-09
carboxyethyl-GABA,1.5568882e-09
fibrinopeptide B (1-12)**,1.5520173e-09
eicosenoate (20:1),1.549354e-09
cysteine,1.5476885e-09
1-methyl-4-imidazoleacetate,1.5431783e-09
3-hydroxydecanoate,1.5416038e-09
5-methylthioadenosine (MTA),1.535204e-09
oleoyl-oleoyl-glycerol (18:1/18:1) [1]*,1.5335011e-09
1-linoleoyl-2-docosahexaenoyl-GPC (18:2/22:6)*,1.5313666e-09
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,1.5264631e-09
campesterol,1.5254359e-09
stearidonate (18:4n3),1.5228093e-09
N1-methylinosine,1.5176718e-09
threonate,1.5153376e-09
palmitoylcarnitine (C16),1.5148458e-09
1-palmitoleoylglycerol (16:1)*,1.5144824e-09
adipate (C6-DC),1.5127148e-09
stearoylcholine*,1.5109395e-09
"ceramide (d18:1/20:0, d16:1/22:0, d20:1/18:0)*",1.510779e-09
2-hydroxyphenylacetate,1.5100935e-09
oleate/vaccenate (18:1),1.5084084e-09
phosphoethanolamine,1.5074932e-09
urea,1.5034234e-09
1-oleoylglycerol (18:1),1.5029759e-09
citrulline,1.5014716e-09
orotate,1.5006213e-09
2-methylcitrate/homocitrate,1.4981223e-09
acisoga,1.4958971e-09
creatinine,1.4943716e-09
nonadecanoate (19:0),1.4935035e-09
sarcosine,1.491726e-09
glycerophosphoethanolamine,1.4884854e-09
stearate (18:0),1.4871708e-09
gamma-tocopherol/beta-tocopherol,1.4866433e-09
choline phosphate,1.4778134e-09
3-hydroxyhexanoate,1.4745671e-09
gamma-glutamylvaline,1.4736365e-09
2-hydroxyadipate,1.4731412e-09
xanthurenate,1.471974e-09
4-cholesten-3-one,1.4618272e-09
linoleoylcarnitine (C18:2)*,1.4501215e-09
suberoylcarnitine (C8-DC),1.4451156e-09
mannose,1.4433632e-09
5-(galactosylhydroxy)-lysine,1.4413762e-09
succinoyltaurine,1.4396968e-09
lithocholate,1.4361321e-09
3-hydroxystearate,1.4356701e-09
stearoylcarnitine (C18),1.4338482e-09
10-heptadecenoate (17:1n7),1.4330092e-09
linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,1.4312058e-09
gulonate*,1.427649e-09
imidazole propionate,1.4254957e-09
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPC (P-16:0/22:6)*,1.4242354e-09
2-aminoadipate,1.4232634e-09
N-acetylputrescine,1.4232031e-09
glutarylcarnitine (C5-DC),1.409886e-09
isoleucylglycine,1.4075028e-09
lithocholic acid sulfate (2),1.4047452e-09
phenylacetylglutamine,1.3941336e-09
trans-4-hydroxyproline,1.3935995e-09
palmitate (16:0),1.3874417e-09
gamma-glutamylmethionine,1.3848881e-09
methionine,1.3727175e-09
fibrinopeptide A (7-16)*,1.3680371e-09
eicosapentaenoate (EPA; 20:5n3),1.3658368e-09
N-oleoyltaurine,1.3657275e-09
pseudouridine,1.3654646e-09
lithocholate sulfate (1),1.3654339e-09
chiro-inositol,1.359766e-09
myo-inositol,1.3573298e-09
5-dodecenoylcarnitine (C12:1),1.3551903e-09
3-hydroxydecanoylcarnitine,1.3538902e-09
oleoyl ethanolamide,1.3535e-09
dihydroorotate,1.3439765e-09
isobutyrylcarnitine (C4),1.339739e-09
"N,N,N-trimethyl-alanylproline betaine (TMAP)",1.3393069e-09
1-oleoyl-2-docosapentaenoyl-GPC (18:1/22:5n3)*,1.3370509e-09
docosapentaenoate (n3 DPA; 22:5n3),1.334139e-09
margarate (17:0),1.3325967e-09
2'-O-methyluridine,1.3316561e-09
10-nonadecenoate (19:1n9),1.3243701e-09
4-hydroxyphenylacetate,1.3199182e-09
(12 or 13)-methylmyristate (a15:0 or i15:0),1.309713e-09
ursocholate,1.3031989e-09
beta-alanine,1.299088e-09
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),1.2915041e-09
carotene diol (2),1.2896311e-09
myristoylcarnitine (C14),1.2872545e-09
heneicosapentaenoate (21:5n3),1.282608e-09
orotidine,1.2822614e-09
5-hydroxyindoleacetate,1.2800917e-09
mead acid (20:3n9),1.2793036e-09
"ceramide (d16:1/24:1, d18:1/22:1)*",1.2774289e-09
pipecolate,1.2722171e-09
pentadecanoate (15:0),1.2697888e-09
1-adrenoyl-GPC (22:4)*,1.2689966e-09
3-hydroxyoleoylcarnitine,1.2677398e-09
myristoleate (14:1n5),1.2554768e-09
estrone 3-sulfate,1.2528268e-09
kynurenate,1.2381878e-09
(14 or 15)-methylpalmitate (a17:0 or i17:0),1.2352267e-09
N-delta-acetylornithine,1.2179158e-09
alpha-ketoglutaramate*,1.213725e-09
N-acetylvaline,1.2097394e-09
dimethylarginine (SDMA + ADMA),1.2031586e-09
(16 or 17)-methylstearate (a19:0 or i19:0),1.1919947e-09
laurate (12:0),1.1777783e-09
octanoylcarnitine (C8),1.1462248e-09
N-acetylneuraminate,1.1250708e-09
decanoylcarnitine (C10),1.0811528e-09
myristate (14:0),1.0749059e-09
laurylcarnitine (C12),1.0748367e-09
stearoyl ethanolamide,1.0071757e-09
myristoleoylcarnitine (C14:1)*,9.954432e-10
carotene diol (1),9.910783e-10
oleoylcarnitine (C18:1),9.895931e-10
palmitoleoylcarnitine (C16:1)*,9.3097163e-10
spermine,0.0
