enzyme_id,enzyme_name,enzyme_score,score_std,degree,score_MEAN_importance,score_MAX_importance,supporting_metabolites,selection_frequency
ec:1.2.3.1,aldehyde oxidase,7.362936787105694e-06,5.171464825993902e-06,7,1.0518481124436704e-06,1.2854233735122207e-06,ethylmalonate; pyridoxal; 5-hydroxyindoleacetate; N1-methyl-2-pyridone-5-carboxamide; gentisate,6
ec:3.5.1.24,choloylglycine hydrolase,6.236210514035213e-06,4.1459108797140434e-06,5,1.2472421028070432e-06,1.3188328774574833e-06,deoxycholate; glycocholate; taurocholate; glycodeoxycholate; taurodeoxycholate,6
ec:1.2.1.3,aldehyde dehydrogenase (NAD+),4.074233079506828e-06,2.801140458586317e-06,4,1.018558269876707e-06,1.095178942852645e-06,ethylmalonate; alpha-ketoglutarate; glycerate; 5-hydroxyindoleacetate,6
ec:3.1.3.6,3'-nucleotidase,3.7779526071573264e-06,2.680702051460587e-06,3,1.2593175357191089e-06,1.306092710092476e-06,uridine; cytidine; adenosine,6
ec:3.1.3.5,5'-nucleotidase,3.7779526071573264e-06,2.680702051460587e-06,3,1.2593175357191089e-06,1.306092710092476e-06,uridine; cytidine; adenosine,6
ec:2.6.1.1,aspartate transaminase,3.3084062214617413e-06,2.2403285694094097e-06,3,1.1028020738205804e-06,1.1597149218969506e-06,alpha-ketoglutarate; 4-hydroxyphenylpyruvate; tyrosine,6
ec:3.5.4.5,cytidine deaminase,2.558624278855703e-06,1.8248623431567773e-06,2,1.2793121394278514e-06,1.306092710092476e-06,uridine; cytidine,6
ec:2.7.1.48,uridine/cytidine kinase,2.558624278855703e-06,1.8248623431567773e-06,2,1.2793121394278514e-06,1.306092710092476e-06,uridine; cytidine,6
ec:3.2.2.8,ribosylpyrimidine nucleosidase,2.558624278855703e-06,1.8248623431567773e-06,2,1.2793121394278514e-06,1.306092710092476e-06,uridine; cytidine,6
ec:2.7.1.213,cytidine kinase,2.558624278855703e-06,1.8248623431567773e-06,2,1.2793121394278514e-06,1.306092710092476e-06,uridine; cytidine,6
ec:2.4.2.2,pyrimidine-nucleoside phosphorylase,2.558624278855703e-06,1.8248623431567773e-06,2,1.2793121394278514e-06,1.306092710092476e-06,uridine; cytidine,6
ec:2.8.3.25,bile acid CoA-transferase,2.5050669077934745e-06,1.751139597162695e-06,2,1.2525334538967372e-06,1.255461336862134e-06,deoxycholate; lithocholate,6
ec:2.3.1.65,bile acid-CoA:amino acid N-acyltransferase,2.472992264226823e-06,1.6110291172677932e-06,2,1.2364961321134112e-06,1.3188328774574833e-06,glycocholate; taurocholate,6
ec:2.5.1.48,cystathionine gamma-synthase,2.4359057211238347e-06,1.5276863848137356e-06,2,1.2179528605619176e-06,1.3069884013600304e-06,O-acetylhomoserine; alpha-ketobutyrate,6
ec:2.3.1.54,formate C-acetyltransferase,2.423187404694754e-06,1.5160078726225357e-06,2,1.211593702347377e-06,1.3069884013600304e-06,pyruvate; alpha-ketobutyrate,6
ec:2.2.1.6,acetolactate synthase,2.423187404694754e-06,1.5160078726225357e-06,2,1.211593702347377e-06,1.3069884013600304e-06,pyruvate; alpha-ketobutyrate,6
ec:3.4.13.20,beta-Ala-His dipeptidase,2.350586643230636e-06,1.64084789099864e-06,2,1.1752933216153178e-06,1.197045261013151e-06,imidazole propionate; 3-methylhistidine,6
ec:6.3.2.11,carnosine synthase,2.350586643230636e-06,1.64084789099864e-06,2,1.1752933216153178e-06,1.197045261013151e-06,imidazole propionate; 3-methylhistidine,6
ec:2.4.2.1,purine-nucleoside phosphorylase,2.313132629654873e-06,1.5835483561028563e-06,2,1.1565663148274365e-06,1.2193283283016235e-06,adenosine; hypoxanthine,6
ec:3.2.2.1,purine nucleosidase,2.313132629654873e-06,1.5835483561028563e-06,2,1.1565663148274365e-06,1.2193283283016235e-06,adenosine; hypoxanthine,6
ec:3.5.1.95,N-malonylurea hydrolase,2.273427437203083e-06,1.5495175749215426e-06,2,1.1367137186015417e-06,1.211289409840676e-06,ethylmalonate; malonate,6
ec:1.4.3.2,L-amino-acid oxidase,2.214111686449269e-06,1.4734875714481046e-06,2,1.1070558432246344e-06,1.1597149218969506e-06,tyrosine; 4-hydroxyphenylpyruvate,6
ec:2.6.1.57,aromatic-amino-acid transaminase,2.214111686449269e-06,1.4734875714481046e-06,2,1.1070558432246344e-06,1.1597149218969506e-06,tyrosine; 4-hydroxyphenylpyruvate,6
ec:2.6.1.103,"(S)-3,5-dihydroxyphenylglycine transaminase",2.214111686449269e-06,1.4734875714481046e-06,2,1.1070558432246344e-06,1.1597149218969506e-06,tyrosine; 4-hydroxyphenylpyruvate,6
ec:2.6.1.5,tyrosine transaminase,2.214111686449269e-06,1.4734875714481046e-06,2,1.1070558432246344e-06,1.1597149218969506e-06,tyrosine; 4-hydroxyphenylpyruvate,6
ec:2.6.1.9,histidinol-phosphate transaminase,2.214111686449269e-06,1.4734875714481046e-06,2,1.1070558432246344e-06,1.1597149218969506e-06,tyrosine; 4-hydroxyphenylpyruvate,6
ec:1.3.98.1,dihydroorotate dehydrogenase (fumarate),2.19525545103954e-06,1.5764168736070238e-06,2,1.09762772551977e-06,1.150483710296785e-06,orotate; fumarate,6
ec:1.17.3.2,xanthine oxidase,2.179265651119716e-06,1.4615570680745783e-06,2,1.089632825559858e-06,1.0938043013532496e-06,hydantoin-5-propionate; hypoxanthine,6
ec:3.5.1.3,omega-amidase,2.131514616576585e-06,1.526236120880263e-06,2,1.0657573082882925e-06,1.0942945350124724e-06,alpha-ketoglutarate; alpha-ketoglutaramate*,6
ec:3.5.1.111,2-oxoglutaramate amidase,2.131514616576585e-06,1.526236120880263e-06,2,1.0657573082882925e-06,1.0942945350124724e-06,alpha-ketoglutarate; alpha-ketoglutaramate*,6
ec:1.2.3.8,pyridoxal oxidase,1.82273105845396e-06,1.3405299452858182e-06,2,9.1136552922698e-07,9.437000666550148e-07,pyridoxal; pyridoxate,6
ec:1.4.3.4,monoamine oxidase,1.5551185283834025e-06,1.0700273748344089e-06,1,1.5551185283834025e-06,1.5551185283834025e-06,1-methylhistamine,6
ec:2.1.1.8,histamine N-methyltransferase,1.5551185283834025e-06,1.0700273748344089e-06,1,1.5551185283834025e-06,1.5551185283834025e-06,1-methylhistamine,6
ec:1.4.3.22,diamine oxidase,1.5551185283834025e-06,1.0700273748344089e-06,1,1.5551185283834025e-06,1.5551185283834025e-06,1-methylhistamine,6
ec:2.3.3.6,2-ethylmalate synthase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:1.2.7.1,pyruvate synthase (ferredoxin),1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:3.5.99.7,1-aminocyclopropane-1-carboxylate deaminase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:4.4.1.1,cystathionine gamma-lyase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:4.4.1.11,methionine gamma-lyase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:1.1.1.27,L-lactate dehydrogenase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:1.1.1.85,3-isopropylmalate dehydrogenase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:4.3.1.19,threonine ammonia-lyase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:2.6.1.42,branched-chain-amino-acid transaminase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:4.4.1.2,homocysteine desulfhydrase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:4.1.1.112,oxaloacetate decarboxylase,1.3069884013600304e-06,7.970960735008869e-07,1,1.3069884013600304e-06,1.3069884013600304e-06,alpha-ketobutyrate,6
ec:3.5.1.135,N4-acetylcytidine amidohydrolase,1.306092710092476e-06,9.908198639210129e-07,1,1.306092710092476e-06,1.306092710092476e-06,cytidine,6
ec:3.1.3.91,7-methylguanosine nucleotidase,1.306092710092476e-06,9.908198639210129e-07,1,1.306092710092476e-06,1.306092710092476e-06,cytidine,6
ec:1.14.14.29,25/26-hydroxycholesterol 7alpha-hydroxylase,1.2956518208622544e-06,9.177413196554346e-07,1,1.2956518208622544e-06,1.2956518208622544e-06,3beta-hydroxy-5-cholestenoate,6
ec:1.2.1.29,aryl-aldehyde dehydrogenase,1.2854233735122207e-06,8.43392497338243e-07,1,1.2854233735122207e-06,1.2854233735122207e-06,gentisate,6
ec:1.14.13.172,salicylate 5-hydroxylase,1.2854233735122207e-06,8.43392497338243e-07,1,1.2854233735122207e-06,1.2854233735122207e-06,gentisate,6
ec:1.13.11.4,"gentisate 1,2-dioxygenase",1.2854233735122207e-06,8.43392497338243e-07,1,1.2854233735122207e-06,1.2854233735122207e-06,gentisate,6
ec:4.1.1.62,gentisate decarboxylase,1.2854233735122207e-06,8.43392497338243e-07,1,1.2854233735122207e-06,1.2854233735122207e-06,gentisate,6
ec:1.14.13.24,3-hydroxybenzoate 6-monooxygenase,1.2854233735122207e-06,8.43392497338243e-07,1,1.2854233735122207e-06,1.2854233735122207e-06,gentisate,6
ec:4.1.1.75,5-guanidino-2-oxopentanoate decarboxylase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:1.4.99.6,D-arginine dehydrogenase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:2.6.1.21,D-amino-acid transaminase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:2.6.1.84,arginine---pyruvate transaminase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:2.6.1.125,L-arginine:2-oxoglutarate transaminase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:1.4.1.25,L-arginine dehydrogenase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:1.4.3.3,D-amino-acid oxidase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:1.4.3.25,L-arginine oxidase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:2.1.1.243,5-guanidino-2-oxopentanoate (3R)-methyltransferase,1.2632031548225012e-06,9.043640635641892e-07,1,1.2632031548225012e-06,1.2632031548225012e-06,2-oxoarginine*,6
ec:1.14.11.3,pyrimidine-deoxynucleoside 2'-dioxygenase,1.252531568763227e-06,8.43273607839201e-07,1,1.252531568763227e-06,1.252531568763227e-06,uridine,6
ec:2.4.2.3,uridine phosphorylase,1.252531568763227e-06,8.43273607839201e-07,1,1.252531568763227e-06,1.252531568763227e-06,uridine,6
ec:3.2.2.3,uridine nucleosidase,1.252531568763227e-06,8.43273607839201e-07,1,1.252531568763227e-06,1.252531568763227e-06,uridine,6
ec:1.14.14.138,lithocholate 6beta-hydroxylase,1.2496055709313404e-06,8.786788336537193e-07,1,1.2496055709313404e-06,1.2496055709313404e-06,lithocholate,6
ec:1.1.1.392,3alpha-hydroxycholanate dehydrogenase (NADP+),1.2496055709313404e-06,8.786788336537193e-07,1,1.2496055709313404e-06,1.2496055709313404e-06,lithocholate,6
ec:1.14.14.57,taurochenodeoxycholate 6alpha-hydroxylase,1.2496055709313404e-06,8.786788336537193e-07,1,1.2496055709313404e-06,1.2496055709313404e-06,lithocholate,6
ec:1.1.1.52,3alpha-hydroxycholanate dehydrogenase (NAD+),1.2496055709313404e-06,8.786788336537193e-07,1,1.2496055709313404e-06,1.2496055709313404e-06,lithocholate,6
ec:2.4.1.48,heteroglycan alpha-mannosyltransferase,1.2296502627445956e-06,8.807553522053167e-07,1,1.2296502627445956e-06,1.2296502627445956e-06,15-HETE,6
ec:2.1.1.1,nicotinamide N-methyltransferase,1.2230236068328372e-06,9.038474814751052e-07,1,1.2230236068328372e-06,1.2230236068328372e-06,1-methylnicotinamide,6
ec:2.7.1.114,AMP---thymidine kinase,1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:3.13.2.3,(R)-S-adenosyl-L-methionine hydrolase (adenosine-forming),1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:1.1.3.39,nucleoside oxidase (H2O2-forming),1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:3.5.4.4,adenosine deaminase,1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:2.5.1.153,adenosine tuberculosinyltransferase,1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:2.7.1.20,adenosine kinase,1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:3.13.2.1,adenosylhomocysteinase,1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:3.2.2.7,adenosine nucleosidase,1.2193283283016235e-06,8.586515736582797e-07,1,1.2193283283016235e-06,1.2193283283016235e-06,adenosine,6
ec:1.14.14.178,steroid 22S-hydroxylase,1.216522950104388e-06,9.692842383142024e-07,1,1.216522950104388e-06,1.216522950104388e-06,campesterol,6
ec:1.1.1.98,(R)-2-hydroxy-fatty-acid dehydrogenase,1.212342884755489e-06,9.225337719207148e-07,1,1.212342884755489e-06,1.212342884755489e-06,3-hydroxystearate,6
ec:1.2.1.15,malonate-semialdehyde dehydrogenase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:4.1.1.88,biotin-independent malonate decarboxylase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:2.3.1.187,acetyl-S-ACP:malonate ACP transferase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:2.8.3.3,malonate CoA-transferase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:6.2.1.76,malonate---CoA ligase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:2.1.1.123,[cytochrome-c]-methionine S-methyltransferase,1.202043549976941e-06,8.649616290011212e-07,1,1.202043549976941e-06,1.202043549976941e-06,S-methylmethionine,6
ec:2.1.1.44,L-histidine Nalpha-methyltransferase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:4.3.1.3,histidine ammonia-lyase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:2.3.1.33,histidine N-acetyltransferase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:6.1.1.21,histidine---tRNA ligase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:1.1.1.23,histidinol dehydrogenase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:4.1.1.22,histidine decarboxylase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:1.14.99.52,L-cysteinyl-L-histidinylsulfoxide synthase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:2.6.1.38,histidine transaminase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:3.4.13.18,cytosol nonspecific dipeptidase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:5.1.1.24,histidine racemase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:1.1.1.66,omega-hydroxydecanoate dehydrogenase,1.189887093432353e-06,8.224073233070708e-07,1,1.189887093432353e-06,1.189887093432353e-06,2-hydroxydecanoate,6
ec:1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase,1.186614882934742e-06,8.6829187551509e-07,1,1.186614882934742e-06,1.186614882934742e-06,4-hydroxyglutamate,6
ec:6.4.1.10,atromentin synthase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.4.1.20,phenylalanine dehydrogenase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.1.1.110,aromatic 2-oxoacid reductase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:5.3.2.1,phenylpyruvate tautomerase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:4.1.1.80,4-hydroxyphenylpyruvate decarboxylase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.13.11.27,4-hydroxyphenylpyruvate dioxygenase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
